TOUR_ID;TOUR_POSITION;LOCATION_ID;LOCATION_TYPE;SEMI_TRAILER_ATTACHED;SWAP_BODY_TRUCK;SWAP_BODY_SEMI_TRAILER;SWAP_ACTION;SWAP_BODY_1_QUANTITY;SWAP_BODY_2_QUANTITY
R1;1;D1;DEPOT;0;1;0;NONE;0;0
R1;2;C1;CUSTOMER;0;1;0;NONE;400.0;0
R1;3;D1;DEPOT;0;1;0;NONE;0;0
R2;1;D1;DEPOT;0;1;0;NONE;0;0
R2;2;C2;CUSTOMER;0;1;0;NONE;480.0;0
R2;3;D1;DEPOT;0;1;0;NONE;0;0
R3;1;D1;DEPOT;0;1;0;NONE;0;0
R3;2;C3;CUSTOMER;0;1;0;NONE;250.0;0
R3;3;D1;DEPOT;0;1;0;NONE;0;0
R4;1;D1;DEPOT;0;1;0;NONE;0;0
R4;2;C4;CUSTOMER;0;1;0;NONE;240.0;0
R4;3;D1;DEPOT;0;1;0;NONE;0;0
R5;1;D1;DEPOT;0;1;0;NONE;0;0
R5;2;C5;CUSTOMER;0;1;0;NONE;215.0;0
R5;3;D1;DEPOT;0;1;0;NONE;0;0
R6;1;D1;DEPOT;0;1;0;NONE;0;0
R6;2;C6;CUSTOMER;0;1;0;NONE;195.0;0
R6;3;D1;DEPOT;0;1;0;NONE;0;0
R7;1;D1;DEPOT;0;1;0;NONE;0;0
R7;2;C7;CUSTOMER;0;1;0;NONE;190.0;0
R7;3;D1;DEPOT;0;1;0;NONE;0;0
R8;1;D1;DEPOT;0;1;0;NONE;0;0
R8;2;C8;CUSTOMER;0;1;0;NONE;150.0;0
R8;3;D1;DEPOT;0;1;0;NONE;0;0
R9;1;D1;DEPOT;0;1;0;NONE;0;0
R9;2;C9;CUSTOMER;0;1;0;NONE;130.0;0
R9;3;D1;DEPOT;0;1;0;NONE;0;0
R10;1;D1;DEPOT;0;1;0;NONE;0;0
R10;2;C10;CUSTOMER;0;1;0;NONE;125.0;0
R10;3;D1;DEPOT;0;1;0;NONE;0;0
R11;1;D1;DEPOT;0;1;0;NONE;0;0
R11;2;C11;CUSTOMER;0;1;0;NONE;125.0;0
R11;3;D1;DEPOT;0;1;0;NONE;0;0
R12;1;D1;DEPOT;0;1;0;NONE;0;0
R12;2;C12;CUSTOMER;0;1;0;NONE;120.0;0
R12;3;D1;DEPOT;0;1;0;NONE;0;0
R13;1;D1;DEPOT;0;1;0;NONE;0;0
R13;2;C13;CUSTOMER;0;1;0;NONE;120.0;0
R13;3;D1;DEPOT;0;1;0;NONE;0;0
R14;1;D1;DEPOT;0;1;0;NONE;0;0
R14;2;C14;CUSTOMER;0;1;0;NONE;120.0;0
R14;3;D1;DEPOT;0;1;0;NONE;0;0
